kb_id,库名,kp_id,标题,现有条件组合(live),内容预览,租户归属(业务填写: 租户标识或GLOBAL),备注
2,全局打标经验,2,【智能体提取】资质荣誉类标签应独立打标,{},国家级资质荣誉（如重点小巨人企业、国家级高新技术企业、专精特新小巨人、国家科技进步奖等）应作为独立标签进行打标，不应遗漏,,
2,全局打标经验,3,【智能体提取】标签覆盖全面性要求,{},标签不应仅限于技术分类，应覆盖企业背景、创新特色、经营策略等多维度，避免同质化。  应覆盖的维度包括： - 技术特征：算,,
2,全局打标经验,4,【智能体提取】国内重大政策维度定义,"{""分类"": ""国内重大政策""}","【维度定义】指国家及地方最新出台的产业政策、监管政策、财税政策、区域发展战略对企业的影响，回答""这家企业能吃到什么政策红",,
2,全局打标经验,5,【智能体提取】设备更新改造受益企业,"{""分类"": ""国内重大政策""}",标签定义：国务院《推动大规模设备更新和消费品以旧换新行动方案》及地方配套政策中，明确支持工业、农业、建筑、交通、教育、文,,
2,全局打标经验,6,【智能体提取】数据要素试点受益企业,"{""分类"": ""国内重大政策""}","标签定义：国家数据局""数据要素×""行动计划中，企业参与数据要素市场化流通、数据资产入表、数据交易等试点，或产品属于数据要",,
2,全局打标经验,7,【智能体提取】人工智能+示范企业,"{""分类"": ""国内重大政策""}","标签定义：工信部""人工智能+""行动中，企业将AI技术应用于制造业、农业、医疗、教育、交通等实体经济场景，且被作为示范案例",,
2,全局打标经验,8,【智能体提取】新质生产力培育企业,"{""分类"": ""国内重大政策""}",标签定义：企业业务属于新质生产力范畴（战略性新兴产业、未来产业），包括人工智能、量子信息、脑机接口、商业航天、低空经济、,,
2,全局打标经验,9,【智能体提取】国产替代/信创受益企业,"{""分类"": ""国内重大政策""}",标签定义：企业产品属于信息技术应用创新（信创）产业，或实现关键领域国产替代（芯片、操作系统、数据库、工业软件等） 判断标,,
2,全局打标经验,10,【智能体提取】绿色低碳/双碳受益企业,"{""分类"": ""国内重大政策""}",标签定义：企业被纳入绿色制造体系（绿色工厂、绿色供应链），或产品帮助其他企业实现节能减排 判断标准：查工信部绿色制造名单,,
2,全局打标经验,11,【智能体提取】区域发展战略受益企业,"{""分类"": ""国内重大政策""}",标签定义：企业位于或业务涉及国家重大区域战略（长三角一体化、粤港澳大湾区、京津冀协同发展、成渝双城经济圈等），且业务与区,,
2,全局打标经验,12,【智能体提取】监管政策承压企业,"{""分类"": ""国内重大政策""}",标签定义：企业所在行业面临监管收紧（如教培双减、互联网反垄断、医药集采、房地产三道红线），企业经营受限 判断标准：企业主,,
2,全局打标经验,13,【智能体提取】国内重大政策强度判定,"{""分类"": ""国内重大政策""}","【强度判定】 ★直接关联：企业出现在政策文件附件名单或政府公示中（如""入选国家数据要素试点名单""） ★★强关联：企业主营",,
2,全局打标经验,14,【智能体提取】国内重大政策打标依据要求,"{""分类"": ""国内重大政策""}","【打标依据要求】必须引用具体政策文件名称+条款，说明政策内容→企业匹配度→影响程度，如： ""依据：国务院《推动大规模设备",,
2,全局打标经验,15,【智能体提取】国际热点事件维度定义,"{""分类"": ""国际热点事件""}","【维度定义】指国际地缘政治、贸易摩擦、能源危机、军事冲突、全球产业链重构等事件对企业的影响，回答""国际局势变化对这家企业",,
2,全局打标经验,16,【智能体提取】地缘政治-能源安全受益/受损,"{""分类"": ""国际热点事件""}",标签定义：中东局势、海峡关闭、能源制裁、俄乌冲突等地缘政治事件导致能源（石油、天然气、煤炭）价格波动，影响能源类、航运类,,
2,全局打标经验,17,【智能体提取】地缘政治-供应链安全受益,"{""分类"": ""国际热点事件""}",标签定义：国际贸易摩擦、技术封锁、出口管制（如美国BIS实体清单、芯片禁令）导致供应链重构，国产替代企业受益 判断标准：,,
2,全局打标经验,18,【智能体提取】地缘政治-贸易壁垒受损,"{""分类"": ""国际热点事件""}",标签定义：关税上调、反倾销调查、贸易壁垒导致出口型企业竞争力下降 判断标准：企业出口目的地是否涉及贸易摩擦国；出口产品是,,
2,全局打标经验,19,【智能体提取】全球产业链迁移受益/受损,"{""分类"": ""国际热点事件""}",标签定义：全球制造业向东南亚、印度、墨西哥转移，影响中国制造业企业 判断标准：企业客户是否正在转移产能；企业是否已海外布,,
2,全局打标经验,20,【智能体提取】汇率波动受益/受损,"{""分类"": ""国际热点事件""}",标签定义：人民币兑美元/欧元汇率大幅波动，影响进出口企业利润 判断标准：企业出口占比>30%→人民币升值受损；进口原材料,,
2,全局打标经验,21,【智能体提取】国际技术突破影响,"{""分类"": ""国际热点事件""}",标签定义：国际重大技术突破（如OpenAI发布新模型、英伟达新芯片、SpaceX星舰成功）对国内企业的冲击或机遇 判断标,,
2,全局打标经验,22,【智能体提取】国际热点事件强度判定,"{""分类"": ""国际热点事件""}",【强度判定】 ★直接关联：企业是热点事件直接主体（如海峡关闭，企业是石油贸易商，直接受益油价上涨） ★★强关联：企业产品,,
2,全局打标经验,23,【智能体提取】国际热点事件打标依据要求,"{""分类"": ""国际热点事件""}","【打标依据要求】必须说明""事件→产业链→企业""的完整推理链条，引用具体新闻/事件，如： ""依据：2026年6月28日伊朗",,
2,全局打标经验,24,【智能体提取】时间窗口说明,"{""分类"": ""时间窗口说明""}","- 默认扫描近90天内的情报 - 若用户指定""时间窗口""，则按指定范围扫描 - 领导关注类可回溯至365天 - 政策类可",,
2,全局打标经验,25,企业打标应打尽量多,"{""分类"": ""测试分类""}",对企业打标应该是应打尽量大，目前企业打标数量太少。当库里企业信息太少时，去联网检索更多的信息提供给打标参考。,,
